Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	270.5166860037823	-24.057254872887764	0.0	0.0	false	
line	+	270.50711067005443	-24.067356629501088	0.0	0.0	false	
line	+	270.5007081988517	-24.07747201553959	0.0	0.0	false	
line	+	270.4958998204667	-24.086145196651465	0.0	0.0	false	
line	+	270.4910829205162	-24.09626731663483	0.0	0.0	false	
line	+	270.4878527951498	-24.106396524611657	0.0	0.0	false	
line	+	270.48621773959934	-24.115083830506432	0.0	0.0	false	
line	+	270.48299468071957	-24.12376384169674	0.0	0.0	false	
line	+	270.4829469254548	-24.132458386752635	0.0	0.0	false	
line	+	270.4844791906046	-24.14260929939467	0.0	0.0	false	
line	+	270.4860196145562	-24.151311105466824	0.0	0.0	false	
line	+	270.4907366763599	-24.160027338139468	0.0	0.0	false	
line	+	270.49545437023403	-24.168743425787493	0.0	0.0	false	
line	+	270.504953457025	-24.1745824316826	0.0	0.0	false	
line	+	270.5112688044428	-24.181855990382747	0.0	0.0	false	
line	+	270.51280383705006	-24.192006619979665	0.0	0.0	false	
line	+	270.51275799473206	-24.20070117327457	0.0	0.0	false	
line	+	270.51429334356357	-24.21085178772138	0.0	0.0	false	
line	+	270.51423994050305	-24.22099543334581	0.0	0.0	false	
line	+	270.5078454972306	-24.228212913344343	0.0	0.0	false	
line	+	270.4951643345887	-24.22235979563046	0.0	0.0	false	
line	+	270.4936303892513	-24.212208991560015	0.0	0.0	false	
line	+	270.4905000329386	-24.203500063373177	0.0	0.0	false	
line	+	270.48418482163936	-24.196225648382956	0.0	0.0	false	
line	+	270.4715322180912	-24.186023307724707	0.0	0.0	false	
line	+	270.4572849399783	-24.177261468230288	0.0	0.0	false	
line	+	270.4509895586523	-24.167087510310466	0.0	0.0	false	
line	+	270.4446867609228	-24.15836238212983	0.0	0.0	false	
line	+	270.4399729003946	-24.149644734805104	0.0	0.0	false	
line	+	270.4304614922182	-24.1466998757432	0.0	0.0	false	
line	+	270.42094185234873	-24.145203512240183	0.0	0.0	false	
line	+	270.4114136581517	-24.145155642268662	0.0	0.0	false	
line	+	270.4002974392781	-24.145099043991546	0.0	0.0	false	
line	+	270.39230332249844	-24.15375262629629	0.0	0.0	false	
line	+	270.389072844001	-24.16243064282551	0.0	0.0	false	
line	+	270.3890095805225	-24.172574227981453	0.0	0.0	false	
line	+	270.38736685158136	-24.181260459204278	0.0	0.0	false	
line	+	270.38413529688654	-24.189938368494218	0.0	0.0	false	
line	+	270.38090328830015	-24.198616208506433	0.0	0.0	false	
line	+	270.379259629779	-24.207302350294842	0.0	0.0	false	
line	+	270.3760176184958	-24.217429167862697	0.0	0.0	false	
line	+	270.37276582930986	-24.22900499768298	0.0	0.0	false	
line	+	270.37270111026976	-24.23914857156873	0.0	0.0	false	
line	+	270.3726456133991	-24.24784306339249	0.0	0.0	false	
line	+	270.3725715839467	-24.259435719135865	0.0	0.0	false	
line	+	270.3725160366297	-24.268130210992005	0.0	0.0	false	
line	+	270.3724512040855	-24.27827378495059	0.0	0.0	false	
line	+	270.3771465807915	-24.28989167462834	0.0	0.0	false	
line	+	270.37868122913886	-24.298594548195073	0.0	0.0	false	
line	+	270.3833961823309	-24.3073140837576	0.0	0.0	false	
line	+	270.3849314418091	-24.316016896374343	0.0	0.0	false	
line	+	270.3864668980179	-24.324719694344846	0.0	0.0	false	
line	+	270.3911742460646	-24.334888077630392	0.0	0.0	false	
line	+	270.3974818586964	-24.343615418385053	0.0	0.0	false	
line	+	270.4021997059178	-24.35233438204666	0.0	0.0	false	
line	+	270.4132722819272	-24.3625344703804	0.0	0.0	false	
line	+	270.4179918902458	-24.371252951778906	0.0	0.0	false	
line	+	270.4259027572727	-24.378537999437288	0.0	0.0	false	
line	+	270.43222348319296	-24.385814832369306	0.0	0.0	false	
line	+	270.44014458750667	-24.39165006044313	0.0	0.0	false	
line	+	270.4496744444741	-24.394594346101286	0.0	0.0	false	
line	+	270.4592213633484	-24.394639860258145	0.0	0.0	false	
line	+	270.4672182209098	-24.387431883299904	0.0	0.0	false	
line	+	270.47044941666735	-24.37875221434057	0.0	0.0	false	
line	+	270.47843652828857	-24.37299274089723	0.0	0.0	false	
line	+	270.48798979899357	-24.371587369103647	0.0	0.0	false	
line	+	270.49752712740496	-24.37307958521376	0.0	0.0	false	
line	+	270.50705692273925	-24.376020300507726	0.0	0.0	false	
line	+	270.5165871584052	-24.378960423605708	0.0	0.0	false	
line	+	270.5197157797644	-24.38911792610727	0.0	0.0	false	
line	+	270.5260348625792	-24.39783998999038	0.0	0.0	false	
line	+	270.5339461113998	-24.40656856373623	0.0	0.0	false	
line	+	270.538675607162	-24.41528334187787	0.0	0.0	false	
line	+	270.5418068451024	-24.42544040111264	0.0	0.0	false	
line	+	270.5417626020002	-24.43413497635479	0.0	0.0	false	
line	+	270.54331010522054	-24.442836224502063	0.0	0.0	false	
line	+	270.5448578105415	-24.451537458451583	0.0	0.0	false	
line	+	270.54640571808477	-24.46023867824979	0.0	0.0	false	
line	+	270.5542859924035	-24.476211702804637	0.0	0.0	false	
line	+	270.5542859924035	-24.476211702804637	0.0	0.0	false	
line	+	270.5638391044099	-24.476250705584366	0.0	0.0	false	
