Object	Cont_Flag	RAJ2000	DEJ2000	X	Y	Label_Flag	Info
line	+	56.113200102169436	32.09407776146594	0.0	0.0	false	
line	+	56.11121085201614	32.09463899570273	0.0	0.0	false	
line	+	56.10888986101612	32.09576180969654	0.0	0.0	false	
line	+	56.105906102086195	32.09604185204797	0.0	0.0	false	
line	+	56.10358536198178	32.09632202500063	0.0	0.0	false	
line	+	56.10126460763281	32.09660215556543	0.0	0.0	false	
line	+	56.09861192074693	32.09772467583844	0.0	0.0	false	
line	+	56.09861112530611	32.099409764044466	0.0	0.0	false	
line	+	56.0982786603079	32.10137558738423	0.0	0.0	false	
line	+	56.09860926905466	32.103341636472045	0.0	0.0	false	
line	+	56.098608075585375	32.105869268709284	0.0	0.0	false	
line	+	56.09860727986755	32.10755435685184	0.0	0.0	false	
line	+	56.09893804956713	32.10923955701163	0.0	0.0	false	
line	+	56.0992688314537	32.110924756299404	0.0	0.0	false	
line	+	56.09993120324954	32.11261006415415	0.0	0.0	false	
line	+	56.10026201563742	32.11429526083598	0.0	0.0	false	
line	+	56.099929660280964	32.11598024035539	0.0	0.0	false	
line	+	56.098271175670746	32.11710307653671	0.0	0.0	false	
line	+	56.096944110565374	32.118506856310255	0.0	0.0	false	
line	+	56.095617004604556	32.11991062221733	0.0	0.0	false	
line	+	56.094289857784965	32.12131437425742	0.0	0.0	false	
line	+	56.0929626701033	32.12271811242999	0.0	0.0	false	
line	+	56.09196690796749	32.124402814952425	0.0	0.0	false	
line	+	56.09097110902008	32.12608750966248	0.0	0.0	false	
line	+	56.08964348013204	32.128052909132315	0.0	0.0	false	
line	+	56.08831579398366	32.13001829471988	0.0	0.0	false	
line	+	56.08731986617898	32.131702960788644	0.0	0.0	false	
line	+	56.086987208008246	32.13338790634256	0.0	0.0	false	
line	+	56.08665453750984	32.13507285101851	0.0	0.0	false	
line	+	56.08665352016984	32.136757938904815	0.0	0.0	false	
line	+	56.08665250275655	32.13844302678533	0.0	0.0	false	
line	+	56.086651315681706	32.14040896263916	0.0	0.0	false	
line	+	56.08698198300792	32.14209419374073	0.0	0.0	false	
line	+	56.08863975361303	32.14321828884274	0.0	0.0	false	
line	+	56.08963385807026	32.14490378825974	0.0	0.0	false	
line	+	56.09062784187945	32.14687012788268	0.0	0.0	false	
line	+	56.09095860601757	32.14855534862962	0.0	0.0	false	
line	+	56.08896738055894	32.15023962637165	0.0	0.0	false	
line	+	56.08730813739478	32.15136231934967	0.0	0.0	false	
line	+	56.085648853338206	32.15248499066745	0.0	0.0	false	
line	+	56.08432090149226	32.15416948644256	0.0	0.0	false	
line	+	56.08299308146472	32.155573120372914	0.0	0.0	false	
line	+	56.08199659150928	32.157538592605974	0.0	0.0	false	
line	+	56.081663555016185	32.159504372117546	0.0	0.0	false	
line	+	56.08133069020247	32.16118930279006	0.0	0.0	false	
line	+	56.08132938744416	32.16315523854072	0.0	0.0	false	
line	+	56.08132827070699	32.16484032632692	0.0	0.0	false	
line	+	56.08132715388935	32.16652541411343	0.0	0.0	false	
line	+	56.08132603699121	32.168210501900596	0.0	0.0	false	
line	+	56.08032956174841	32.169895113089225	0.0	0.0	false	
line	+	56.078337672951	32.17157922427308	0.0	0.0	false	
line	+	56.07700950664957	32.17298279568201	0.0	0.0	false	
line	+	56.07501769450893	32.17438600689275	0.0	0.0	false	
line	+	56.07368922630413	32.17607039156997	0.0	0.0	false	
line	+	56.07302433832801	32.17775512255745	0.0	0.0	false	
line	+	56.07302306739949	32.179440210268176	0.0	0.0	false	
line	+	56.07302179637936	32.18112529798235	0.0	0.0	false	
line	+	56.07434806555464	32.182530247782395	0.0	0.0	false	
line	+	56.07567437562492	32.183935183756084	0.0	0.0	false	
line	+	56.07633684023985	32.18562061442001	0.0	0.0	false	
line	+	56.07666747981962	32.18730587234652	0.0	0.0	false	
line	+	56.07666627593669	32.18899096012278	0.0	0.0	false	
line	+	56.07666507196698	32.19067604790457	0.0	0.0	false	
line	+	56.07566826407645	32.19236062258425	0.0	0.0	false	
